CODIGO_UPGRADE;EQUIPAMENTO1;ANTIGO1;NOVO1;EQUIPAMENTO2;ANTIGO2;NOVO2;EQUIPAMENTO3;ANTIGO3;NOVO3;EQUIPAMENTO4;ANTIGO4;NOVO4;EQUIPAMENTO5;ANTIGO5;NOVO5;EQUIPAMENTO6;ANTIGO6;NOVO6;EQUIPAMENTO7;ANTIGO7;NOVO7;EQUIPAMENTO8;ANTIGO8;NOVO8;EQUIPAMENTO9;ANTIGO9;NOVO9
1;AMPLIFICADOR;RX/600;RX/1;BLOQUEADOR DE AC;-;BLOQUEADOR DE AC;;;;;;;;;;;;;;;;;;;;;
2;ACOPLADOR;-;DC12/1;AMPLIFICADOR;HGD/600;HGBT/1;ACOPLADOR;-;DC8/1;TAP;8/24/600;8/15/1;;;;;;;;;;;;;;;
3;AMPLIFICADOR;LE/600;LE/1;;;;;;;;;;;;;;;;;;;;;;;;
4;ACOPLADOR;3WAY/600;2WAY/1;;;;;;;;;;;;;;;;;;;;;;;;
5;TAP;4/14/600;4/11/1;;;;;;;;;;;;;;;;;;;;;;;;
6;TAP;2/11/600;2/4/1;;;;;;;;;;;;;;;;;;;;;;;;
7;TAP;4/14/600;4/17/1;;;;;;;;;;;;;;;;;;;;;;;;
8;AMPLIFICADOR;LE/600;HGBT/1;ACOPLADOR;-;2WAY/1;TAP;2/23/600;2/17/1;;;;;;;;;;;;;;;;;;
9;ACOPLADOR;2WAY/600;-;;;;;;;;;;;;;;;;;;;;;;;;
10;EQUALIZADOR DE LINHA;EQ/600;-;;;;;;;;;;;;;;;;;;;;;;;;
11;TAP;8/15/600;8/18/1;;;;;;;;;;;;;;;;;;;;;;;;
12;TAP;8/21/600;8/15/1;;;;;;;;;;;;;;;;;;;;;;;;
13;TAP;4/17/600;4/11/1;;;;;;;;;;;;;;;;;;;;;;;;
14;TAP;8/15/600;8/21/1;;;;;;;;;;;;;;;;;;;;;;;;
15;TAP;2/8/600;2/14/1;EQUALIZADOR DE LINHA;EQ/600;-;;;;;;;;;;;;;;;;;;;;;
18;TAP;4/17/600;4/14/1;;;;;;;;;;;;;;;;;;;;;;;;
19;TAP;4/11/600;4/8/1;;;;;;;;;;;;;;;;;;;;;;;;
20;TAP;4/23/600;4/14/1;;;;;;;;;;;;;;;;;;;;;;;;
21;TAP;8/21/600;8/12/1;;;;;;;;;;;;;;;;;;;;;;;;
22;TAP;4/23/600;4/20/1;;;;;;;;;;;;;;;;;;;;;;;;
23;TAP;8/15/600;8/12/1;;;;;;;;;;;;;;;;;;;;;;;;
24;TAP;4/23/600;4/20/1;;;;;;;;;;;;;;;;;;;;;;;;
25;TAP;8/21/600;8/18/1;;;;;;;;;;;;;;;;;;;;;;;;
26;TAP;4/17/600;4/14/1;;;;;;;;;;;;;;;;;;;;;;;;
27;TAP;2/11/600;2/4/1;;;;;;;;;;;;;;;;;;;;;;;;
28;ACOPLADOR;-;2WAY/1;;;;;;;;;;;;;;;;;;;;;;;;
29;AMPLIFICADOR;LE/600;HGD/1;ACOPLADOR;2WAY/600;-;TAP;4/8/600;4/23/1;EQUALIZADOR DE LINHA;EQ/600;-;;;;;;;;;;;;;;;
30;ACOPLADOR;2WAY/600;3WAY/1;ACOPLADOR;DC8/600;-;;;;;;;;;;;;;;;;;;;;;
31;AMPLIFICADOR;-;LE/1;ACOPLADOR;-;DC12/1;TAP;4/23/600;4/11/1;;;;;;;;;;;;;;;;;;
32;ACOPLADOR;2WAY/600;DC12/1;;;;;;;;;;;;;;;;;;;;;;;;
33;TAP;2/17/600;2/20/1;;;;;;;;;;;;;;;;;;;;;;;;
34;TAP;8/15/600;8/18/1;;;;;;;;;;;;;;;;;;;;;;;;
35;AMPLIFICADOR;LE/600;HGD/1;ACOPLADOR;2WAY/600;-;TAP;8/15/600;8/21/1;;;;;;;;;;;;;;;;;;
36;TAP;4/17/600;4/23/1;;;;;;;;;;;;;;;;;;;;;;;;
37;TAP;4/23/600;4/20/1;;;;;;;;;;;;;;;;;;;;;;;;
38;TAP;2/23/600;2/4/1;AMPLIFICADOR;LE/600;-;;;;;;;;;;;;;;;;;;;;;
39;TAP;4/23/600;4/20/1;;;;;;;;;;;;;;;;;;;;;;;;
40;AMPLIFICADOR;-;LE/1;ACOPLADOR;-;DC8/1;;;;;;;;;;;;;;;;;;;;;
41;EQUALIZADOR DE LINHA;EQ/600;-;;;;;;;;;;;;;;;;;;;;;;;;
42;TAP;2/14/600;2/17/1;;;;;;;;;;;;;;;;;;;;;;;;
43;TAP;4/17/600;4/20/1;;;;;;;;;;;;;;;;;;;;;;;;
44;TAP;2/23/600;2/4/1;AMPLIFICADOR;LE/600;-;;;;;;;;;;;;;;;;;;;;;
45;TAP;2/23/600;2/11/1;;;;;;;;;;;;;;;;;;;;;;;;
46;TAP;8/21/600;8/15/1;;;;;;;;;;;;;;;;;;;;;;;;
47;TAP;8/15/600;8/18/1;;;;;;;;;;;;;;;;;;;;;;;;
48;TAP;8/18/600;8/21/1;;;;;;;;;;;;;;;;;;;;;;;;
49;TAP;8/15/600;8/12/1;;;;;;;;;;;;;;;;;;;;;;;;
50;TAP;4/20/600;4/17/1;ACOPLADOR;DC8/600;DC12/1;;;;;;;;;;;;;;;;;;;;;
51;TAP;2/23/600;2/17/1;AMPLIFICADOR;LE/600;LE/1;;;;;;;;;;;;;;;;;;;;;
52;TAP;2/17/600;2/8/1;;;;;;;;;;;;;;;;;;;;;;;;
53;TAP;8/21/600;8/15/1;;;;;;;;;;;;;;;;;;;;;;;;
54;TAP;4/20/600;4/17/1;;;;;;;;;;;;;;;;;;;;;;;;
55;TAP;4/17/600;4/14/1;;;;;;;;;;;;;;;;;;;;;;;;
56;TAP;2/23/600;2/17/1;;;;;;;;;;;;;;;;;;;;;;;;
57;TAP;4/23/600;4/20/1;;;;;;;;;;;;;;;;;;;;;;;;
58;AMPLIFICADOR;-;HGD/1;ACOPLADOR;-;2WAY/1;TAP;2/23/600;2/14/1;;;;;;;;;;;;;;;;;;
59;TAP;4/23/600;4/11/1;AMPLIFICADOR;HGD/600;-;;;;;;;;;;;;;;;;;;;;;
60;TAP;8/24/600;8/12/1;;;;;;;;;;;;;;;;;;;;;;;;
61;AMPLIFICADOR;HGD/600;HGBT/1;TAP;2/23/600;2/17/1;;;;;;;;;;;;;;;;;;;;;
62;TAP;4/17/600;4/23/1;;;;;;;;;;;;;;;;;;;;;;;;
63;TAP;8/15/600;8/21/1;;;;;;;;;;;;;;;;;;;;;;;;
64;TAP;2/8/600;2/17/1;AMPLIFICADOR;LE/600;-;;;;;;;;;;;;;;;;;;;;;
65;TAP;8/21/600;8/15/1;;;;;;;;;;;;;;;;;;;;;;;;
66;ACOPLADOR;3WAY/600;DC8/1;TAP;2/23/600;2/20/1;;;;;;;;;;;;;;;;;;;;;
67;AMPLIFICADOR;LE/600;HGD/1;ACOPLADOR;DC12/600;-;TAP;2/11/600;2/20/1;;;;;;;;;;;;;;;;;;
68;TAP;2/4/600;2/8/1;;;;;;;;;;;;;;;;;;;;;;;;
69;TAP;4/14/600;4/20/1;;;;;;;;;;;;;;;;;;;;;;;;
70;TAP;2/17/600;2/20/1;;;;;;;;;;;;;;;;;;;;;;;;
71;TAP;4/14/600;4/23/1;;;;;;;;;;;;;;;;;;;;;;;;
72;TAP;2/14/600;2/8/1;;;;;;;;;;;;;;;;;;;;;;;;
73;AMPLIFICADOR;LE/600;HGD/1;TAP;2/23/600;-;TAP;4/11/600;8/21/1;;;;;;;;;;;;;;;;;;
74;TAP;4/20/600;4/8/1;EQUALIZADOR DE LINHA;EQ/600;-;;;;;;;;;;;;;;;;;;;;;
75;TAP;8/15/600;8/18/1;;;;;;;;;;;;;;;;;;;;;;;;
76;TAP;2/14/600;2/20/1;;;;;;;;;;;;;;;;;;;;;;;;
77;TAP;8/24/600;8/12/1;;;;;;;;;;;;;;;;;;;;;;;;
78;TAP;8/24/600;8/21/1;;;;;;;;;;;;;;;;;;;;;;;;
79;AMPLIFICADOR;HGD/600;HGBT/1;ACOPLADOR;-;3WAY/1;;;;;;;;;;;;;;;;;;;;;
80;AMPLIFICADOR;LE/600;-;EQUALIZADOR DE LINHA;EQ/600;-;;;;;;;;;;;;;;;;;;;;;
81;AMPLIFICADOR;-;LE/1;ACOPLADOR;-;DC12/1;TAP;2/23/600;2/11/1;;;;;;;;;;;;;;;;;;
82;EQUALIZADOR DE LINHA;EQ/600;-;;;;;;;;;;;;;;;;;;;;;;;;
83;TAP;4/14/600;4/17/1;;;;;;;;;;;;;;;;;;;;;;;;
84;TAP;2/23/600;2/8/1;;;;;;;;;;;;;;;;;;;;;;;;
85;TAP;4/14/600;4/17/1;;;;;;;;;;;;;;;;;;;;;;;;
86;TAP;4/17/600;4/20/1;;;;;;;;;;;;;;;;;;;;;;;;
87;TAP;4/20/600;4/11/1;;;;;;;;;;;;;;;;;;;;;;;;
88;TAP;4/23/600;4/14/1;;;;;;;;;;;;;;;;;;;;;;;;
89;TAP;8/21/600;8/18/1;;;;;;;;;;;;;;;;;;;;;;;;
90;ACOPLADOR;DC12/600;-;;;;;;;;;;;;;;;;;;;;;;;;
91;TAP;2/11/600;2/14/1;EQUALIZADOR DE LINHA;EQ/600;-;;;;;;;;;;;;;;;;;;;;;
92;TAP;4/8/600;4/14/1;TAP;2/4/600;2/11/1;;;;;;;;;;;;;;;;;;;;;
93;AMPLIFICADOR;LE/600;HGD/1;ACOPLADOR;DC12/600;-;;;;;;;;;;;;;;;;;;;;;
94;TAP;8/15/600;8/12/1;EQUALIZADOR DE LINHA;EQ/600;-;;;;;;;;;;;;;;;;;;;;;
95;TAP;4/8/600;4/20/1;;;;;;;;;;;;;;;;;;;;;;;;
96;AMPLIFICADOR;LE/600;LE/1;;;;;;;;;;;;;;;;;;;;;;;;
97;TAP;4/11/600;4/17/1;;;;;;;;;;;;;;;;;;;;;;;;
98;TAP;8/18/600;8/21/1;;;;;;;;;;;;;;;;;;;;;;;;
99;TAP;8/15/600;8/21/1;EQUALIZADOR DE LINHA;EQ/600;-;;;;;;;;;;;;;;;;;;;;;
100;TAP;8/21/600;8/18/1;;;;;;;;;;;;;;;;;;;;;;;;
101;TAP;8/24/600;8/21/1;;;;;;;;;;;;;;;;;;;;;;;;
102;TAP;8/21/600;8/15/1;ACOPLADOR;DC12/600;2WAY/1;;;;;;;;;;;;;;;;;;;;;
103;AMPLIFICADOR;HGD/600;HGD/1;ACOPLADOR;-;DC8/1;TAP;8/21/600;8/15/1;;;;;;;;;;;;;;;;;;
104;EQUALIZADOR DE LINHA;EQ/600;-;;;;;;;;;;;;;;;;;;;;;;;;
105;TAP;8/18/600;8/21/1;ACOPLADOR;2WAY/600;-;;;;;;;;;;;;;;;;;;;;;
106;ACOPLADOR;-;DC8/1;;;;;;;;;;;;;;;;;;;;;;;;
107;TAP;4/11/600;4/20/1;EQUALIZADOR DE LINHA;EQ/600;-;;;;;;;;;;;;;;;;;;;;;
109;TAP;4/23/600;4/8/1;;;;;;;;;;;;;;;;;;;;;;;;
110;TAP;8/21/600;8/12/1;;;;;;;;;;;;;;;;;;;;;;;;
111;TAP;4/23/600;4/17/1;;;;;;;;;;;;;;;;;;;;;;;;
112;TAP;8/18/600;8/21/1;;;;;;;;;;;;;;;;;;;;;;;;
113;TAP;4/23/600;4/17/1;;;;;;;;;;;;;;;;;;;;;;;;
114;TAP;4/23/600;4/17/1;;;;;;;;;;;;;;;;;;;;;;;;
115;AMPLIFICADOR;LE/600;LE/1;ACOPLADOR;-;DC12/1;;;;;;;;;;;;;;;;;;;;;
116;ACOPLADOR;DC8/600;DC12/1;AMPLIFICADOR;LE/600;HGD/1;;;;;;;;;;;;;;;;;;;;;
117;AMPLIFICADOR;HGD/600;HGBT/1;;;;;;;;;;;;;;;;;;;;;;;;
118;AMPLIFICADOR;LE/600;LE/1;ACOPLADOR;-;DC8/1;TAP;8/24/600;8/15/1;;;;;;;;;;;;;;;;;;
119;ACOPLADOR;DC12/600;2WAY/1;TAP;2/23/600;2/11/1;;;;;;;;;;;;;;;;;;;;;
121;TAP;DC8/600;2WAY/1;TAP;4/17/600;4/8/1;;;;;;;;;;;;;;;;;;;;;
122;AMPLIFICADOR;LE/600;HGD/1;ACOPLADOR;2WAY/600;-;;;;;;;;;;;;;;;;;;;;;
123;TAP;2/17/600;2/20/1;;;;;;;;;;;;;;;;;;;;;;;;
124;TAP;8/15/600;8/18/1;;;;;;;;;;;;;;;;;;;;;;;;
125;AMPLIFICADOR;LE/600;HGD/1;ACOPLADOR;DC8/600;-;TAP;2/17/600;2/23/1;;;;;;;;;;;;;;;;;;
126;EQUALIZADOR DE LINHA;EQ/600;-;;;;;;;;;;;;;;;;;;;;;;;;
127;TAP;8/15/600;8/18/1;;;;;;;;;;;;;;;;;;;;;;;;
128;TAP;2/17/600;2/20/1;;;;;;;;;;;;;;;;;;;;;;;;
129;TAP;8/18/600;8/21/1;;;;;;;;;;;;;;;;;;;;;;;;
130;TAP;8/15/600;8/21/1;;;;;;;;;;;;;;;;;;;;;;;;
131;TAP;2/8/600;2/17/1;TAP;4/8/600;4/14/1;;;;;;;;;;;;;;;;;;;;;
132;ACOPLADOR;-;3WAY/1;;;;;;;;;;;;;;;;;;;;;;;;
133;TAP;2/23/600;2/8/1;;;;;;;;;;;;;;;;;;;;;;;;
134;AMPLIFICADOR;LE/600;-;;;;;;;;;;;;;;;;;;;;;;;;
135;TAP;8/24/600;8/21/1;AMPLIFICADOR;-;LE/1;;;;;;;;;;;;;;;;;;;;;
136;EQUALIZADOR DE LINHA;EQ/600;-;TAP;4/11/600;4/8/1;;;;;;;;;;;;;;;;;;;;;
137;TAP;8/15/600;8/12/1;;;;;;;;;;;;;;;;;;;;;;;;
138;TAP;4/20/600;4/17/1;;;;;;;;;;;;;;;;;;;;;;;;
139;TAP;8/24/600;8/21/1;;;;;;;;;;;;;;;;;;;;;;;;
140;ACOPLADOR;DC8/600;DC12/1;TAP;4/11/600;4/14/1;;;;;;;;;;;;;;;;;;;;;
141;TAP;4/11/600;4/8/1;EQUALIZADOR DE LINHA;EQ/600;-;;;;;;;;;;;;;;;;;;;;;
142;TAP;8/15/600;8/18/1;TAP;2/17/600;2/14/1;;;;;;;;;;;;;;;;;;;;;
143;AMPLIFICADOR;LE/600;HGD/1;ACOPLADOR;-;2WAY/1;TAP;8/24/600;8/18/1;;;;;;;;;;;;;;;;;;
144;TAP;2/8/600;2/4/1;;;;;;;;;;;;;;;;;;;;;;;;
145;TAP;4/20/600;4/17/1;;;;;;;;;;;;;;;;;;;;;;;;
146;TAP;4/23/600;4/17/1;;;;;;;;;;;;;;;;;;;;;;;;
147;TAP;8/18/600;8/12/1;;;;;;;;;;;;;;;;;;;;;;;;
148;AMPLIFICADOR;-;LE/1;ACOPLADOR;-;DC12/1;TAP;4/23/600;4/11/1;;;;;;;;;;;;;;;;;;
149;TAP;8/24/600;8/21/1;;;;;;;;;;;;;;;;;;;;;;;;
150;AMPLIFICADOR;LE/600;-;TAP;2/23/600;2/4/1;;;;;;;;;;;;;;;;;;;;;
151;EQUALIZADOR DE LINHA;EQ/600;-;;;;;;;;;;;;;;;;;;;;;;;;
152;ACOPLADOR;3WAY/600;DC12/1;TAP;2/23/600;2/20/1;;;;;;;;;;;;;;;;;;;;;
153;TAP;2/17/600;2/20/1;;;;;;;;;;;;;;;;;;;;;;;;
