CODIGO_UPGRADE_CABO;SERVICO;BITOLA;COMPRIMENTO
235;Retirar;500;37
236;Retirar;500;18
237;Retirar;500;37
238;Retirar;500;29
239;Retirar;500;38
240;Retirar;500;48
241;Retirar;500;40
242;Retirar;500;34
243;Retirar;500;51
244;Retirar;500;50
245;Retirar;500;37
246;Retirar;500;36
247;Retirar;500;37
248;Retirar;500;70
249;Retirar;500;39
250;Retirar;500;29
251;Retirar;500;26
253;Retirar;500;27
255;Retirar;500;32
256;Retirar;500;37
257;Retirar;500;36
258;Retirar;500;12
259;Retirar;500;18
260;Retirar;500;25
261;Retirar;500;80
262;Retirar;500;41
263;Retirar;500;42
264;Retirar;500;37
265;Retirar;500;40
267;Retirar;500;37
268;Retirar;500;37
269;Retirar;500;50
270;Retirar;500;46
271;Retirar;500;38
273;Retirar;500;29
274;Retirar;500;32
275;Retirar;500;38
276;Retirar;500;35
277;Retirar;500;38
278;Retirar;500;35
279;Retirar;500;34
281;Retirar;500;35
282;Retirar;500;33
283;Retirar;500;33
284;Retirar;500;34
285;Retirar;500;38
286;Retirar;500;35
287;Retirar;500;37
288;Retirar;500;38
289;Retirar;500;67
290;Retirar;500;37
291;Retirar;500;37
292;Retirar;500;36
294;Lancar;500;147
295;Lancar;500;55
296;Lancar;500;78
297;Lancar;500;29
298;Lancar;500;78
299;Lancar;500;70
300;Lancar;500;120
301;Lancar;500;69
302;Lancar;500;37
303;Lancar;500;74
304;Lancar;500;97
305;Lancar;500;86
306;Lancar;500;12
307;Lancar;500;38
308;Lancar;500;80
309;Lancar;500;164
310;Lancar;500;92
313;Lancar;500;37
316;Lancar;500;32
317;Lancar;500;74
318;Lancar;500;57
319;Lancar;500;145
320;Lancar;500;117
321;Lancar;500;25
322;Lancar;500;35
323;Lancar;500;83
324;Lancar;500;87
325;Lancar;500;89
326;Lancar;500;76
327;Lancar;500;76
328;Lancar;500;37
329;Lancar;500;67
330;Lancar;500;106
332;Lancar;500;37
333;Lancar;500;37
334;Lancar;500;75
335;Lancar;500;71
336;Lancar;500;108
337;Lancar;500;173
338;Lancar;500;73
339;Lancar;500;38
340;Lancar;500;106
331;Lancar;500;70
314;Lancar;500;35
315;Lancar;500;59
311;Retirar;500;38
120;Lancar;500;36
17;Lancar;500;65
16;Lancar;500;39
252;Lancar;500;64
312;Retirar;500;41
108;Lançar;500;37
